,services
0,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
1,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
2,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
3,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
4,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
5,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
6,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
7,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
8,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
9,"[{'id': 10922884, 'title': 'Моделирование тела/60 мин', 'cost': 4000, 'cost_to_pay': 4000, 'manual_cost': 4000, 'cost_per_unit': 4000, 'discount': 0, 'first_cost': 4000, 'amount': 1}]"
10,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
11,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
12,"[{'id': 10922884, 'title': 'Моделирование тела/60 мин', 'cost': 4000, 'cost_to_pay': 4000, 'manual_cost': 4000, 'cost_per_unit': 4000, 'discount': 0, 'first_cost': 4000, 'amount': 1}]"
13,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
14,[]
15,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
16,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}, {'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
17,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}, {'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
18,"[{'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 3000, 'cost_to_pay': 3000, 'manual_cost': 3000, 'cost_per_unit': 3000, 'discount': 0, 'first_cost': 3000, 'amount': 1}]"
19,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 6500, 'cost_to_pay': 6500, 'manual_cost': 6500, 'cost_per_unit': 6500, 'discount': 0, 'first_cost': 6500, 'amount': 1}]"
20,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
21,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
22,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
23,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
24,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2000, 'cost_to_pay': 2000, 'manual_cost': 2000, 'cost_per_unit': 2000, 'discount': 0, 'first_cost': 2000, 'amount': 1}]"
25,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
26,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
27,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
28,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
29,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5000, 'cost_to_pay': 5000, 'manual_cost': 5000, 'cost_per_unit': 5000, 'discount': 0, 'first_cost': 5000, 'amount': 1}]"
30,[]
31,[]
32,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
33,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
34,"[{'id': 10922859, 'title': 'Мужская Коррекция осанки/40 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}, {'id': 10922877, 'title': 'Экспресс массаж лица/30 мин', 'cost': 2000, 'cost_to_pay': 2000, 'manual_cost': 2000, 'cost_per_unit': 2000, 'discount': 0, 'first_cost': 2000, 'amount': 1}]"
35,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
36,[]
37,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
38,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
39,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
40,[]
41,[]
42,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}, {'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
43,[]
44,[]
45,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4950, 'cost_per_unit': 5500, 'discount': 10, 'first_cost': 5500, 'amount': 1}]"
46,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4000, 'cost_per_unit': 4000, 'discount': 0, 'first_cost': 4000, 'amount': 1}]"
47,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4050, 'cost_per_unit': 4500, 'discount': 10, 'first_cost': 4500, 'amount': 1}]"
48,[]
49,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}, {'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
50,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
51,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
52,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
53,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
54,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
55,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
56,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
57,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
58,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
59,"[{'id': 10922884, 'title': 'Моделирование тела/60 мин', 'cost': 4000, 'cost_to_pay': 4000, 'manual_cost': 4000, 'cost_per_unit': 4000, 'discount': 0, 'first_cost': 4000, 'amount': 1}]"
60,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
61,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
62,"[{'id': 10922884, 'title': 'Моделирование тела/60 мин', 'cost': 4000, 'cost_to_pay': 4000, 'manual_cost': 4000, 'cost_per_unit': 4000, 'discount': 0, 'first_cost': 4000, 'amount': 1}]"
63,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
64,[]
65,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
66,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}, {'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
67,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}, {'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
68,"[{'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 3000, 'cost_to_pay': 3000, 'manual_cost': 3000, 'cost_per_unit': 3000, 'discount': 0, 'first_cost': 3000, 'amount': 1}]"
69,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 6500, 'cost_to_pay': 6500, 'manual_cost': 6500, 'cost_per_unit': 6500, 'discount': 0, 'first_cost': 6500, 'amount': 1}]"
70,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
71,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
72,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
73,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
74,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2000, 'cost_to_pay': 2000, 'manual_cost': 2000, 'cost_per_unit': 2000, 'discount': 0, 'first_cost': 2000, 'amount': 1}]"
